voxel/serie,z,y,x
42789,15,42,21
42790,15,42,22
42791,15,42,23
42833,15,43,21
42834,15,43,22
42835,15,43,23
42877,15,44,21
42878,15,44,22
42879,15,44,23
45517,16,42,21
45518,16,42,22
45519,16,42,23
45561,16,43,21
45562,16,43,22
45563,16,43,23
45605,16,44,21
45606,16,44,22
45607,16,44,23
48245,17,42,21
48246,17,42,22
48247,17,42,23
48289,17,43,21
48290,17,43,22
48291,17,43,23
48333,17,44,21
48334,17,44,22
48335,17,44,23
69970,25,40,10
69971,25,40,11
69972,25,40,12
70014,25,41,10
70015,25,41,11
70016,25,41,12
70058,25,42,10
70059,25,42,11
70060,25,42,12
72483,26,35,15
72484,26,35,16
72485,26,35,17
72527,26,36,15
72528,26,36,16
72529,26,36,17
72571,26,37,15
72572,26,37,16
72573,26,37,17
72698,26,40,10
72699,26,40,11
72700,26,40,12
72742,26,41,10
72743,26,41,11
72744,26,41,12
72786,26,42,10
72787,26,42,11
72788,26,42,12
72797,26,42,21
72798,26,42,22
72799,26,42,23
72800,26,42,24
72841,26,43,21
72842,26,43,22
72843,26,43,23
72844,26,43,24
72885,26,44,21
72886,26,44,22
72887,26,44,23
72888,26,44,24
75211,27,35,15
75212,27,35,16
75213,27,35,17
75255,27,36,15
75256,27,36,16
75257,27,36,17
75299,27,37,15
75300,27,37,16
75301,27,37,17
75426,27,40,10
75427,27,40,11
75428,27,40,12
75470,27,41,10
75471,27,41,11
75472,27,41,12
75514,27,42,10
75515,27,42,11
75516,27,42,12
75525,27,42,21
75526,27,42,22
75527,27,42,23
75528,27,42,24
75569,27,43,21
75570,27,43,22
75571,27,43,23
75572,27,43,24
75613,27,44,21
75614,27,44,22
75615,27,44,23
75616,27,44,24
75657,27,45,21
75658,27,45,22
75659,27,45,23
75660,27,45,24
75777,27,48,9
75778,27,48,10
75779,27,48,11
75821,27,49,9
75822,27,49,10
75823,27,49,11
75865,27,50,9
75866,27,50,10
75867,27,50,11
77939,28,35,15
77940,28,35,16
77941,28,35,17
77983,28,36,15
77984,28,36,16
77985,28,36,17
78023,28,37,11
78024,28,37,12
78025,28,37,13
78027,28,37,15
78028,28,37,16
78029,28,37,17
78067,28,38,11
78068,28,38,12
78069,28,38,13
78111,28,39,11
78112,28,39,12
78113,28,39,13
78253,28,42,21
78254,28,42,22
78255,28,42,23
78256,28,42,24
78297,28,43,21
78298,28,43,22
78299,28,43,23
78300,28,43,24
78301,28,43,25
78341,28,44,21
78342,28,44,22
78343,28,44,23
78344,28,44,24
78345,28,44,25
78385,28,45,21
78386,28,45,22
78387,28,45,23
78388,28,45,24
78389,28,45,25
78431,28,46,23
78432,28,46,24
78433,28,46,25
78505,28,48,9
78506,28,48,10
78507,28,48,11
78549,28,49,9
78550,28,49,10
78551,28,49,11
78593,28,50,9
78594,28,50,10
78595,28,50,11
80751,29,37,11
80752,29,37,12
80753,29,37,13
80795,29,38,11
80796,29,38,12
80797,29,38,13
80839,29,39,11
80840,29,39,12
80841,29,39,13
80981,29,42,21
80982,29,42,22
80983,29,42,23
80984,29,42,24
81024,29,43,20
81025,29,43,21
81026,29,43,22
81027,29,43,23
81028,29,43,24
81029,29,43,25
81068,29,44,20
81069,29,44,21
81070,29,44,22
81071,29,44,23
81072,29,44,24
81073,29,44,25
81112,29,45,20
81113,29,45,21
81114,29,45,22
81115,29,45,23
81116,29,45,24
81117,29,45,25
81156,29,46,20
81157,29,46,21
81158,29,46,22
81159,29,46,23
81160,29,46,24
81161,29,46,25
81233,29,48,9
81234,29,48,10
81235,29,48,11
81277,29,49,9
81278,29,49,10
81279,29,49,11
81321,29,50,9
81322,29,50,10
81323,29,50,11
83479,30,37,11
83480,30,37,12
83481,30,37,13
83523,30,38,11
83524,30,38,12
83525,30,38,13
83567,30,39,11
83568,30,39,12
83569,30,39,13
83752,30,43,20
83753,30,43,21
83754,30,43,22
83755,30,43,23
83756,30,43,24
83757,30,43,25
83796,30,44,20
83797,30,44,21
83798,30,44,22
83799,30,44,23
83800,30,44,24
83801,30,44,25
83840,30,45,20
83841,30,45,21
83842,30,45,22
83843,30,45,23
83844,30,45,24
83845,30,45,25
83884,30,46,20
83885,30,46,21
83886,30,46,22
83887,30,46,23
83888,30,46,24
83889,30,46,25
86480,31,43,20
86481,31,43,21
86482,31,43,22
86483,31,43,23
86484,31,43,24
86524,31,44,20
86525,31,44,21
86526,31,44,22
86527,31,44,23
86528,31,44,24
86529,31,44,25
86568,31,45,20
86569,31,45,21
86570,31,45,22
86571,31,45,23
86572,31,45,24
86573,31,45,25
86612,31,46,20
86613,31,46,21
86614,31,46,22
86615,31,46,23
86616,31,46,24
86617,31,46,25
86965,31,54,21
86966,31,54,22
86967,31,54,23
87009,31,55,21
87010,31,55,22
87011,31,55,23
87053,31,56,21
87054,31,56,22
87055,31,56,23
89252,32,44,20
89253,32,44,21
89254,32,44,22
89255,32,44,23
89256,32,44,24
89257,32,44,25
89296,32,45,20
89297,32,45,21
89298,32,45,22
89299,32,45,23
89300,32,45,24
89301,32,45,25
89340,32,46,20
89341,32,46,21
89342,32,46,22
89343,32,46,23
89344,32,46,24
89345,32,46,25
89693,32,54,21
89694,32,54,22
89695,32,54,23
89737,32,55,21
89738,32,55,22
89739,32,55,23
89781,32,56,21
89782,32,56,22
89783,32,56,23
92421,33,54,21
92422,33,54,22
92423,33,54,23
92465,33,55,21
92466,33,55,22
92467,33,55,23
92509,33,56,21
92510,33,56,22
92511,33,56,23
102889,37,44,17
102890,37,44,18
102891,37,44,19
102898,37,44,26
102899,37,44,27
102900,37,44,28
102933,37,45,17
102934,37,45,18
102935,37,45,19
102942,37,45,26
102943,37,45,27
102944,37,45,28
102977,37,46,17
102978,37,46,18
102979,37,46,19
102986,37,46,26
102987,37,46,27
102988,37,46,28
105399,38,39,19
105400,38,39,20
105401,38,39,21
105443,38,40,19
105444,38,40,20
105445,38,40,21
105446,38,40,22
105447,38,40,23
105448,38,40,24
105449,38,40,25
105487,38,41,19
105488,38,41,20
105489,38,41,21
105490,38,41,22
105491,38,41,23
105492,38,41,24
105493,38,41,25
105532,38,42,20
105533,38,42,21
105534,38,42,22
105535,38,42,23
105536,38,42,24
105537,38,42,25
105539,38,42,27
105540,38,42,28
105541,38,42,29
105573,38,43,17
105574,38,43,18
105575,38,43,19
105582,38,43,26
105583,38,43,27
105584,38,43,28
105585,38,43,29
105617,38,44,17
105618,38,44,18
105619,38,44,19
105626,38,44,26
105627,38,44,27
105628,38,44,28
105629,38,44,29
105661,38,45,17
105662,38,45,18
105663,38,45,19
105670,38,45,26
105671,38,45,27
105672,38,45,28
105673,38,45,29
105705,38,46,17
105706,38,46,18
105707,38,46,19
105714,38,46,26
105715,38,46,27
105716,38,46,28
108087,39,38,23
108088,39,38,24
108089,39,38,25
108127,39,39,19
108128,39,39,20
108129,39,39,21
108130,39,39,22
108131,39,39,23
108132,39,39,24
108133,39,39,25
108171,39,40,19
108172,39,40,20
108173,39,40,21
108174,39,40,22
108175,39,40,23
108176,39,40,24
108177,39,40,25
108180,39,40,28
108181,39,40,29
108182,39,40,30
108215,39,41,19
108216,39,41,20
108217,39,41,21
108218,39,41,22
108219,39,41,23
108220,39,41,24
108221,39,41,25
108223,39,41,27
108224,39,41,28
108225,39,41,29
108226,39,41,30
108256,39,42,16
108257,39,42,17
108258,39,42,18
108260,39,42,20
108261,39,42,21
108262,39,42,22
108263,39,42,23
108264,39,42,24
108265,39,42,25
108267,39,42,27
108268,39,42,28
108269,39,42,29
108270,39,42,30
108300,39,43,16
108301,39,43,17
108302,39,43,18
108303,39,43,19
108310,39,43,26
108311,39,43,27
108312,39,43,28
108313,39,43,29
108314,39,43,30
108344,39,44,16
108345,39,44,17
108346,39,44,18
108347,39,44,19
108354,39,44,26
108355,39,44,27
108356,39,44,28
108357,39,44,29
108388,39,45,16
108389,39,45,17
108390,39,45,18
108391,39,45,19
108398,39,45,26
108399,39,45,27
108400,39,45,28
108401,39,45,29
108433,39,46,17
108434,39,46,18
108435,39,46,19
108442,39,46,26
108443,39,46,27
108444,39,46,28
110815,40,38,23
110816,40,38,24
110817,40,38,25
110855,40,39,19
110856,40,39,20
110857,40,39,21
110858,40,39,22
110859,40,39,23
110860,40,39,24
110861,40,39,25
110899,40,40,19
110900,40,40,20
110901,40,40,21
110902,40,40,22
110903,40,40,23
110904,40,40,24
110905,40,40,25
110908,40,40,28
110909,40,40,29
110910,40,40,30
110943,40,41,19
110944,40,41,20
110945,40,41,21
110946,40,41,22
110947,40,41,23
110948,40,41,24
110949,40,41,25
110951,40,41,27
110952,40,41,28
110953,40,41,29
110954,40,41,30
110984,40,42,16
110985,40,42,17
110986,40,42,18
110988,40,42,20
110989,40,42,21
110990,40,42,22
110991,40,42,23
110992,40,42,24
110993,40,42,25
110995,40,42,27
110996,40,42,28
110997,40,42,29
110998,40,42,30
111028,40,43,16
111029,40,43,17
111030,40,43,18
111031,40,43,19
111033,40,43,21
111034,40,43,22
111035,40,43,23
111038,40,43,26
111039,40,43,27
111040,40,43,28
111041,40,43,29
111042,40,43,30
111072,40,44,16
111073,40,44,17
111074,40,44,18
111075,40,44,19
111082,40,44,26
111083,40,44,27
111084,40,44,28
111085,40,44,29
111116,40,45,16
111117,40,45,17
111118,40,45,18
111119,40,45,19
111126,40,45,26
111127,40,45,27
111128,40,45,28
111129,40,45,29
113543,41,38,23
113544,41,38,24
113545,41,38,25
113584,41,39,20
113585,41,39,21
113586,41,39,22
113587,41,39,23
113588,41,39,24
113589,41,39,25
113628,41,40,20
113629,41,40,21
113630,41,40,22
113631,41,40,23
113632,41,40,24
113633,41,40,25
113636,41,40,28
113637,41,40,29
113638,41,40,30
113667,41,41,15
113668,41,41,16
113669,41,41,17
113672,41,41,20
113673,41,41,21
113674,41,41,22
113675,41,41,23
113676,41,41,24
113679,41,41,27
113680,41,41,28
113681,41,41,29
113682,41,41,30
113711,41,42,15
113712,41,42,16
113713,41,42,17
113714,41,42,18
113716,41,42,20
113717,41,42,21
113718,41,42,22
113719,41,42,23
113720,41,42,24
113723,41,42,27
113724,41,42,28
113725,41,42,29
113726,41,42,30
113755,41,43,15
113756,41,43,16
113757,41,43,17
113758,41,43,18
113761,41,43,21
113762,41,43,22
113763,41,43,23
113764,41,43,24
113767,41,43,27
113768,41,43,28
113769,41,43,29
113770,41,43,30
113800,41,44,16
113801,41,44,17
113802,41,44,18
113811,41,44,27
113812,41,44,28
113813,41,44,29
113844,41,45,16
113845,41,45,17
113846,41,45,18
113855,41,45,27
113856,41,45,28
113857,41,45,29
116357,42,40,21
116358,42,40,22
116359,42,40,23
116364,42,40,28
116365,42,40,29
116366,42,40,30
116395,42,41,15
116396,42,41,16
116397,42,41,17
116401,42,41,21
116402,42,41,22
116403,42,41,23
116404,42,41,24
116407,42,41,27
116408,42,41,28
116409,42,41,29
116410,42,41,30
116439,42,42,15
116440,42,42,16
116441,42,42,17
116442,42,42,18
116445,42,42,21
116446,42,42,22
116447,42,42,23
116448,42,42,24
116451,42,42,27
116452,42,42,28
116453,42,42,29
116454,42,42,30
116483,42,43,15
116484,42,43,16
116485,42,43,17
116486,42,43,18
116489,42,43,21
116490,42,43,22
116491,42,43,23
116492,42,43,24
116495,42,43,27
116496,42,43,28
116497,42,43,29
116498,42,43,30
116528,42,44,16
116529,42,44,17
116530,42,44,18
119092,43,40,28
119093,43,40,29
119094,43,40,30
119123,43,41,15
119124,43,41,16
119125,43,41,17
119130,43,41,22
119131,43,41,23
119132,43,41,24
119136,43,41,28
119137,43,41,29
119138,43,41,30
119167,43,42,15
119168,43,42,16
119169,43,42,17
119174,43,42,22
119175,43,42,23
119176,43,42,24
119180,43,42,28
119181,43,42,29
119182,43,42,30
119211,43,43,15
119212,43,43,16
119213,43,43,17
119218,43,43,22
119219,43,43,23
119220,43,43,24
119224,43,43,28
119225,43,43,29
119226,43,43,30
