voxel/serie,z,y,x
69984,25,40,24
69985,25,40,25
69986,25,40,26
70028,25,41,24
70029,25,41,25
70030,25,41,26
70072,25,42,24
70073,25,42,25
70074,25,42,26
70116,25,43,24
70117,25,43,25
70118,25,43,26
70119,25,43,27
70160,25,44,24
70161,25,44,25
70162,25,44,26
70163,25,44,27
70205,25,45,25
70206,25,45,26
70207,25,45,27
72670,26,39,26
72671,26,39,27
72672,26,39,28
72707,26,40,19
72708,26,40,20
72709,26,40,21
72712,26,40,24
72713,26,40,25
72714,26,40,26
72715,26,40,27
72716,26,40,28
72751,26,41,19
72752,26,41,20
72753,26,41,21
72756,26,41,24
72757,26,41,25
72758,26,41,26
72759,26,41,27
72760,26,41,28
72795,26,42,19
72796,26,42,20
72797,26,42,21
72800,26,42,24
72801,26,42,25
72802,26,42,26
72839,26,43,19
72840,26,43,20
72841,26,43,21
72844,26,43,24
72845,26,43,25
72846,26,43,26
72847,26,43,27
72883,26,44,19
72884,26,44,20
72885,26,44,21
72888,26,44,24
72889,26,44,25
72890,26,44,26
72891,26,44,27
72933,26,45,25
72934,26,45,26
72935,26,45,27
75230,27,35,34
75231,27,35,35
75232,27,35,36
75274,27,36,34
75275,27,36,35
75276,27,36,36
75318,27,37,34
75319,27,37,35
75320,27,37,36
75398,27,39,26
75399,27,39,27
75400,27,39,28
75435,27,40,19
75436,27,40,20
75437,27,40,21
75440,27,40,24
75441,27,40,25
75442,27,40,26
75443,27,40,27
75444,27,40,28
75479,27,41,19
75480,27,41,20
75481,27,41,21
75484,27,41,24
75485,27,41,25
75486,27,41,26
75487,27,41,27
75488,27,41,28
75523,27,42,19
75524,27,42,20
75525,27,42,21
75528,27,42,24
75529,27,42,25
75530,27,42,26
75567,27,43,19
75568,27,43,20
75569,27,43,21
75572,27,43,24
75573,27,43,25
75574,27,43,26
75575,27,43,27
75611,27,44,19
75612,27,44,20
75613,27,44,21
75616,27,44,24
75617,27,44,25
75618,27,44,26
75619,27,44,27
75661,27,45,25
75662,27,45,26
75663,27,45,27
77958,28,35,34
77959,28,35,35
77960,28,35,36
78002,28,36,34
78003,28,36,35
78004,28,36,36
78046,28,37,34
78047,28,37,35
78048,28,37,36
78112,28,39,12
78113,28,39,13
78114,28,39,14
78126,28,39,26
78127,28,39,27
78128,28,39,28
78156,28,40,12
78157,28,40,13
78158,28,40,14
78163,28,40,19
78164,28,40,20
78165,28,40,21
78170,28,40,26
78171,28,40,27
78172,28,40,28
78200,28,41,12
78201,28,41,13
78202,28,41,14
78207,28,41,19
78208,28,41,20
78209,28,41,21
78214,28,41,26
78215,28,41,27
78216,28,41,28
78251,28,42,19
78252,28,42,20
78253,28,42,21
78295,28,43,19
78296,28,43,20
78297,28,43,21
78339,28,44,19
78340,28,44,20
78341,28,44,21
78656,28,51,28
78657,28,51,29
78658,28,51,30
78700,28,52,28
78701,28,52,29
78702,28,52,30
78744,28,53,28
