voxel/serie,z,y,x
45521,16,42,25
45522,16,42,26
45523,16,42,27
45565,16,43,25
45566,16,43,26
45567,16,43,27
45609,16,44,25
45610,16,44,26
45611,16,44,27
45653,16,45,25
45654,16,45,26
45655,16,45,27
45697,16,46,25
45698,16,46,26
45699,16,46,27
48117,17,39,25
48118,17,39,26
48119,17,39,27
48154,17,40,18
48155,17,40,19
48156,17,40,20
48161,17,40,25
48162,17,40,26
48163,17,40,27
48164,17,40,28
48198,17,41,18
48199,17,41,19
48200,17,41,20
48205,17,41,25
48206,17,41,26
48207,17,41,27
48208,17,41,28
48242,17,42,18
48243,17,42,19
48244,17,42,20
48249,17,42,25
48250,17,42,26
48251,17,42,27
48252,17,42,28
48285,17,43,17
48286,17,43,18
48287,17,43,19
48288,17,43,20
48293,17,43,25
48294,17,43,26
48295,17,43,27
48329,17,44,17
48330,17,44,18
48331,17,44,19
48332,17,44,20
48337,17,44,25
48338,17,44,26
48339,17,44,27
48373,17,45,17
48374,17,45,18
48375,17,45,19
48381,17,45,25
48382,17,45,26
48383,17,45,27
48425,17,46,25
48426,17,46,26
48427,17,46,27
48469,17,47,25
48470,17,47,26
48471,17,47,27
50800,18,38,24
50801,18,38,25
50802,18,38,26
50844,18,39,24
50845,18,39,25
50846,18,39,26
50847,18,39,27
50878,18,40,14
50879,18,40,15
50880,18,40,16
50881,18,40,17
50882,18,40,18
50883,18,40,19
50884,18,40,20
50888,18,40,24
50889,18,40,25
50890,18,40,26
50891,18,40,27
50892,18,40,28
50893,18,40,29
50894,18,40,30
50895,18,40,31
50922,18,41,14
50923,18,41,15
50924,18,41,16
50925,18,41,17
50926,18,41,18
50927,18,41,19
50928,18,41,20
50933,18,41,25
50934,18,41,26
50935,18,41,27
50936,18,41,28
50937,18,41,29
50938,18,41,30
50939,18,41,31
50966,18,42,14
50967,18,42,15
50968,18,42,16
50969,18,42,17
50970,18,42,18
50971,18,42,19
50972,18,42,20
50977,18,42,25
50978,18,42,26
50979,18,42,27
50980,18,42,28
50981,18,42,29
50982,18,42,30
50983,18,42,31
51010,18,43,14
51011,18,43,15
51012,18,43,16
51013,18,43,17
51014,18,43,18
51015,18,43,19
51016,18,43,20
51021,18,43,25
51022,18,43,26
51023,18,43,27
51024,18,43,28
51025,18,43,29
51026,18,43,30
51057,18,44,17
51058,18,44,18
51059,18,44,19
51060,18,44,20
51065,18,44,25
51066,18,44,26
51067,18,44,27
51068,18,44,28
51101,18,45,17
51102,18,45,18
51103,18,45,19
51109,18,45,25
51110,18,45,26
51111,18,45,27
51112,18,45,28
51146,18,46,18
51147,18,46,19
51148,18,46,20
51153,18,46,25
51154,18,46,26
51155,18,46,27
51190,18,47,18
51191,18,47,19
51192,18,47,20
51196,18,47,24
51197,18,47,25
51198,18,47,26
51199,18,47,27
51234,18,48,18
51235,18,48,19
51236,18,48,20
51240,18,48,24
51241,18,48,25
51242,18,48,26
51243,18,48,27
51284,18,49,24
51285,18,49,25
51286,18,49,26
53528,19,38,24
53529,19,38,25
53530,19,38,26
53566,19,39,18
53567,19,39,19
53568,19,39,20
53572,19,39,24
53573,19,39,25
53574,19,39,26
53575,19,39,27
53606,19,40,14
53607,19,40,15
53608,19,40,16
53609,19,40,17
53610,19,40,18
53611,19,40,19
53612,19,40,20
53616,19,40,24
53617,19,40,25
53618,19,40,26
53619,19,40,27
53620,19,40,28
53621,19,40,29
53622,19,40,30
53623,19,40,31
53624,19,40,32
53625,19,40,33
53649,19,41,13
53650,19,41,14
53651,19,41,15
53652,19,41,16
53653,19,41,17
53654,19,41,18
53655,19,41,19
53656,19,41,20
53661,19,41,25
53662,19,41,26
53663,19,41,27
53664,19,41,28
53665,19,41,29
53666,19,41,30
53667,19,41,31
53668,19,41,32
53669,19,41,33
53693,19,42,13
53694,19,42,14
53695,19,42,15
53696,19,42,16
53697,19,42,17
53698,19,42,18
53699,19,42,19
53700,19,42,20
53705,19,42,25
53706,19,42,26
53707,19,42,27
53708,19,42,28
53709,19,42,29
53710,19,42,30
53711,19,42,31
53712,19,42,32
53713,19,42,33
53737,19,43,13
53738,19,43,14
53739,19,43,15
53740,19,43,16
53741,19,43,17
53742,19,43,18
53743,19,43,19
53744,19,43,20
53749,19,43,25
53750,19,43,26
53751,19,43,27
53752,19,43,28
53753,19,43,29
53754,19,43,30
53755,19,43,31
53784,19,44,16
53785,19,44,17
53786,19,44,18
53787,19,44,19
53788,19,44,20
53793,19,44,25
53794,19,44,26
53795,19,44,27
53796,19,44,28
53797,19,44,29
53798,19,44,30
53829,19,45,17
53830,19,45,18
53831,19,45,19
53837,19,45,25
53838,19,45,26
53839,19,45,27
53840,19,45,28
53841,19,45,29
53842,19,45,30
53873,19,46,17
53874,19,46,18
53875,19,46,19
53876,19,46,20
53881,19,46,25
53882,19,46,26
53883,19,46,27
53884,19,46,28
53918,19,47,18
53919,19,47,19
53920,19,47,20
53924,19,47,24
53925,19,47,25
53926,19,47,26
53927,19,47,27
53962,19,48,18
53963,19,48,19
53964,19,48,20
53968,19,48,24
53969,19,48,25
53970,19,48,26
53971,19,48,27
54006,19,49,18
54007,19,49,19
54008,19,49,20
54012,19,49,24
54013,19,49,25
54014,19,49,26
54015,19,49,27
56256,20,38,24
56257,20,38,25
56258,20,38,26
56294,20,39,18
56295,20,39,19
56296,20,39,20
56300,20,39,24
56301,20,39,25
56302,20,39,26
56303,20,39,27
56334,20,40,14
56335,20,40,15
56336,20,40,16
56337,20,40,17
56338,20,40,18
56339,20,40,19
56340,20,40,20
56344,20,40,24
56345,20,40,25
56346,20,40,26
56347,20,40,27
56348,20,40,28
56349,20,40,29
56350,20,40,30
56351,20,40,31
56352,20,40,32
56353,20,40,33
56377,20,41,13
56378,20,41,14
56379,20,41,15
56380,20,41,16
56381,20,41,17
56382,20,41,18
56383,20,41,19
56384,20,41,20
56389,20,41,25
56390,20,41,26
56391,20,41,27
56392,20,41,28
56393,20,41,29
56394,20,41,30
56395,20,41,31
56396,20,41,32
56397,20,41,33
56421,20,42,13
56422,20,42,14
56423,20,42,15
56424,20,42,16
56425,20,42,17
56426,20,42,18
56427,20,42,19
56428,20,42,20
56433,20,42,25
56434,20,42,26
56435,20,42,27
56436,20,42,28
56437,20,42,29
56438,20,42,30
56439,20,42,31
56440,20,42,32
56441,20,42,33
56465,20,43,13
56466,20,43,14
56467,20,43,15
56468,20,43,16
56469,20,43,17
56470,20,43,18
56471,20,43,19
56477,20,43,25
56478,20,43,26
56479,20,43,27
56480,20,43,28
56481,20,43,29
56482,20,43,30
56483,20,43,31
56484,20,43,32
56510,20,44,14
56511,20,44,15
56512,20,44,16
56513,20,44,17
56514,20,44,18
56515,20,44,19
56516,20,44,20
56521,20,44,25
56522,20,44,26
56523,20,44,27
56524,20,44,28
56525,20,44,29
56526,20,44,30
56527,20,44,31
56528,20,44,32
56554,20,45,14
56555,20,45,15
56556,20,45,16
56557,20,45,17
56558,20,45,18
56559,20,45,19
56560,20,45,20
56565,20,45,25
56566,20,45,26
56567,20,45,27
56568,20,45,28
56569,20,45,29
56570,20,45,30
56571,20,45,31
56598,20,46,14
56599,20,46,15
56600,20,46,16
56601,20,46,17
56602,20,46,18
56603,20,46,19
56604,20,46,20
56609,20,46,25
56610,20,46,26
56611,20,46,27
56612,20,46,28
56613,20,46,29
56614,20,46,30
56615,20,46,31
56646,20,47,18
56647,20,47,19
56648,20,47,20
56652,20,47,24
56653,20,47,25
56654,20,47,26
56655,20,47,27
56656,20,47,28
56690,20,48,18
56691,20,48,19
56692,20,48,20
56696,20,48,24
56697,20,48,25
56698,20,48,26
56699,20,48,27
56700,20,48,28
56734,20,49,18
56735,20,49,19
56736,20,49,20
56740,20,49,24
56741,20,49,25
56742,20,49,26
56743,20,49,27
56778,20,50,18
56779,20,50,19
56780,20,50,20
56785,20,50,25
56786,20,50,26
56787,20,50,27
56829,20,51,25
56830,20,51,26
56831,20,51,27
58984,21,38,24
58985,21,38,25
58986,21,38,26
